,tile_ID,geometry,position
108,108,"POLYGON ((-77.04792967727045 38.96645864078138, -77.04792967727045 38.97344282567505, -77.03894652442925 38.97344282567505, -77.03894652442925 38.96645864078138, -77.04792967727045 38.96645864078138))","[8,4]"
109,109,"POLYGON ((-77.04792967727045 38.97344282567505, -77.04792967727045 38.980426321879044, -77.03894652442925 38.980426321879044, -77.03894652442925 38.97344282567505, -77.04792967727045 38.97344282567505))","[8,3]"
110,110,"POLYGON ((-77.04792967727045 38.980426321879044, -77.04792967727045 38.987409129357545, -77.03894652442925 38.987409129357545, -77.03894652442925 38.980426321879044, -77.04792967727045 38.980426321879044))","[8,2]"
111,111,"POLYGON ((-77.04792967727045 38.987409129357545, -77.04792967727045 38.99439124807475, -77.03894652442925 38.99439124807475, -77.03894652442925 38.987409129357545, -77.04792967727045 38.987409129357545))","[8,1]"
112,112,"POLYGON ((-77.04792967727045 38.99439124807475, -77.04792967727045 39.001372677994944, -77.03894652442925 39.001372677994944, -77.03894652442925 38.99439124807475, -77.04792967727045 38.99439124807475))","[8,0]"
113,113,"POLYGON ((-77.03894652442925 38.7916303, -77.03894652442925 38.798631690361624, -77.02996337158805 38.798631690361624, -77.02996337158805 38.7916303, -77.03894652442925 38.7916303))","[9,30]"
114,114,"POLYGON ((-77.03894652442925 38.798631690361624, -77.03894652442925 38.805632392943714, -77.02996337158805 38.805632392943714, -77.02996337158805 38.798631690361624, -77.03894652442925 38.798631690361624))","[9,29]"
115,115,"POLYGON ((-77.03894652442925 38.805632392943714, -77.03894652442925 38.812632407709344, -77.02996337158805 38.812632407709344, -77.02996337158805 38.805632392943714, -77.03894652442925 38.805632392943714))","[9,28]"
116,116,"POLYGON ((-77.03894652442925 38.812632407709344, -77.03894652442925 38.819631734621595, -77.02996337158805 38.819631734621595, -77.02996337158805 38.812632407709344, -77.03894652442925 38.812632407709344))","[9,27]"
117,117,"POLYGON ((-77.03894652442925 38.819631734621595, -77.03894652442925 38.826630373643624, -77.02996337158805 38.826630373643624, -77.02996337158805 38.819631734621595, -77.03894652442925 38.819631734621595))","[9,26]"
118,118,"POLYGON ((-77.03894652442925 38.826630373643624, -77.03894652442925 38.833628324738626, -77.02996337158805 38.833628324738626, -77.02996337158805 38.826630373643624, -77.03894652442925 38.826630373643624))","[9,25]"
